"Term name (NOT TO BE EDITED, but see comments in column K)",acronym/abbreviation (Editors can insert suggestions),Pending discussion,"skos:definition @en                                                          Comments welcome, but DO NOT EDIT column D (FdJ will do that based on comments in column M). Note that in some cases the original can still be checked in column R",project/community/source,source indications in the source,date (internal information only),select (Editors in favour of selection can add a smart chip/their initials) ,to be discussed (Editors in favour of discussion can add a smart chip/their initials) ,reject (Editors in favour of rejection can add a smart chip/their initials) ,final decision (verdict to be specified based on consensus/majority; probably not before 13 July),status: current / not used / outdated; annotated with user initials,"editorial comments, annotated with user initials (light grey font: no further actionr equired on short notice)",URI (without namespace); capitalisation for internal purposes only; DO NOT EDIT,skos:prefLabel @en,skos:altLabel @en;  column NOT TO BE EDITED;  relevance of this column still under  discussion ,skos:broader,original definition @en,skos:note @en,skos:example @en,skos:exactMatch,skos:closeMatch
EOSC Resource Catalogue Interoperability Guideline,,,"EOSC Interoperability guideline to enable compatibility with the EOSC Resource Catalogue, including metadata formats such as the EOSC Profile, the OIDC protocol for authentication, etc.",EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01, Lorenz Makula,,Joaquin Lopez Franciska de Jong MN,reject,can be rediscussed after first release,JLL:  Central to EOSC ecosystem — SELECT.,EoscResourceCatalogueInteroperabilityGuideline,EOSC Resource Catalogue Interoperability Guideline,,,"EOSC Interoperability guideline to enable compatibility with the EOSC Resource Catalogue, including metadata formats such as the EOSC Profile, the OIDC protocol for authentication, etc.",,,,
EOSC Steering Board,,see cell A3; ,An expert group consisting of representatives of European Member States and Associated Countries that advises the European Commission in the development and implementation of EOSC. The board is also one of the three bodies in the tripartite EOSC Partnership Board that governs the EOSC Partnership.,EOSCFuture project glossary,,2024-03-29,,,Joaquin Lopez Lorenz Makula MN Franciska de Jong,reject,can be rediscussed after first release,"FdJ:  Steering Board now features in Tripartite Governance; it is established by the EC, not EOSC-A; to be decided if needed at all",EoscSteeringBoard,EOSC Steering Board,,,An expert group consisting of representatives of European Member States and Associated Countries that advises the European Commission in the development and implementation of EOSC. The board is also one of the three bodies in the tripartite EOSC Partnership Board that governs the EOSC Partnership.,,,,
EOSC User,,,Any natural person or group of people who interacts with EOSC resources and services.,EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess,reject,,,EoscUser,EOSC User,,,Any natural person or group of people who interacts with EOSC resources and services.,,,,
EOSC-Core,,,"online platform​ providing the means to discover, share, access and re-use ​data​ and ​services​.",EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,FdJ: outdated?,Duplicate of EOSC Core entry (without hyphen),EoscCore,EOSC-Core,,online platform,"online platform​ providing the means to discover, share, access and re-use ​data​ and ​services​.","The ​EOSC-Core does not, itself, provide the means to transfer, store, process or preserve ​research data​.",,,eoscFut:EoscCore
EOSC-Exchange,,,set of ​services​ complementing the ​EOSC-Core​ (3.17beta) that store and exploit ​FAIR data encouraging its reuse.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,FdJ: superfluous; see above the version without hyphen,JLL: Terminological consistency with EOSC Exchange entry (without hyphen),EoscExchange,EOSC-Exchange,,service,set of ​services​ complementing the ​EOSC-Core​ (3.17beta) that store and exploit ​FAIR data encouraging its reuse.,"EXAMPLE Examples of services included in the EOSC-Exchange are those that store, preserve or transport research data as well as those that compute against it.",,,eoscFut:EoscExchange
EOSC-Interoperability Framework,,,"The collection of EOSC Interoperability Guidelines onboarded to the EOSC Platform, visible in the EOSC IF Registry, which can be used to enable interoperability between individual EOSC Resources and EOSC Core services as well as interoperability between EOSC Resources (e.g. enabling data transfer, orchestration, etc.). The Framework includes the governance processes for reviewing, approving and accepting new Interoperability Guidelines into the IF Registry.",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess MN,reject,FdJ: duplication; see above the version without hyphen;,JLL: Central conceptual framework — SELECT.,EoscInteroperabilityFramework,EOSC-Interoperability Framework,,,"The collection of EOSC Interoperability Guidelines onboarded to the EOSC Platform, visible in the EOSC IF Registry, which can be used to enable interoperability between individual EOSC Resources and EOSC Core services as well as interoperability between EOSC Resources (e.g. enabling data transfer, orchestration, etc.). The Framework includes the governance processes for reviewing, approving and accepting new Interoperability Guidelines into the IF Registry.",,,,
EOSC-Interoperability Framework Registry,,,"A database of submitted and approved EOSC Interoperability Guidelines, based on an agreed profile of attributes.",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,JLL: Central conceptual framework — SELECT.,EoscInteroperabilityFrameworkRegistry,EOSC-Interoperability Framework Registry,,,"A database of submitted and approved EOSC Interoperability Guidelines, based on an agreed profile of attributes.",,,,
European Commission,EC,,The executive branch of the European Union,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",EuropeanCommission,European Commission,,,The executive branch of the European Union,,,,
European Open Science Cloud,,see cell A3; creation of a domain: EOSC Association?,the ​system resulting from the activities and initiatives promoted by the European Commission to support its ​policies​ on ​Open Science​ and ​Open Innovation 2.0​.,EOSC Glossary September 2020,"Candela, L., Mangione, D. (2020). Towards a Coherent and Shared Glossary for the European Open Science Cloud. https://docs.google.com/document/d/1wj9u8QWuCING1O3Lf_yWQJWftXhQwkN_4LzCz48feSQ /edit?usp=sharing​.",2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,"FdJ: out of the three origianl entries  for this term the definition copied from eosc.eu seems to best match the current status
",EuropeanOpenScienceCloud,European Open Science Cloud,EOSC,,the ​system resulting from the activities and initiatives promoted by the European Commission to support its ​policies​ on ​Open Science​ and ​Open Innovation 2.0​.,"Note 1 to entry: It is a trusted system providing seamless access to ​data and interoperable services. It supports the whole research ​data life-cycle​, from discovery and mining to storage, management, analysis and re-use across borders and disciplines. | Note 2 to entry: It consists of a set of interacting ​components​: ​actors​, ​services​, ​data​, policies​, and ​infrastructures​. | Note 3 to entry: It is implemented by adopting a federated, decentralised, distributed and participatory approach. | Note 4 to entry: The system performs functions and carries out purposes that do not reside in any component alone (aka ​emergent behaviour​).",,,eoscFut:EuropeanOpenScienceCloud
European Open Science Cloud,,,"European Open Science Cloud. An envisioned federation of research (data) infrastructures that will create a web of FAIR data and services for science. EOSC will be a key enabler for Open Science and will support researchers in sharing and exploiting research products (e.g as data, publications, and code) through value-added horizontal (i.e. cross-disciplinary) and thematic (i.e. discipline-specific) services. EOSC was developed in an initial implementation phase from 2016-2020 under Horizon 2020 and will be expanded in a second implementation phase via the EOSC Partnership from 2021-2027 under Horizon Europe.",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess MN,reject,,"FdJ: out of the three origianl entries  for this term the definition copied from eosc.eu seems to best match the current status
",EuropeanOpenScienceCloud,European Open Science Cloud,,,"European Open Science Cloud. An envisioned federation of research (data) infrastructures that will create a web of FAIR data and services for science. EOSC will be a key enabler for Open Science and will support researchers in sharing and exploiting research products (e.g as data, publications, and code) through value-added horizontal (i.e. cross-disciplinary) and thematic (i.e. discipline-specific) services. EOSC was developed in an initial implementation phase from 2016-2020 under Horizon 2020 and will be expanded in a second implementation phase via the EOSC Partnership from 2021-2027 under Horizon Europe.",,,,eoscG2020:EuropeanOpenScienceCloud
